review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
1292,2655,Gran producto de Apple con el nuevo diseño de gran apariencia.,diseño positive,36-42,Great product by Apple with the new great looking design.,design positive
1634,1067,A menos que necesite el Bluetooth 3.,Bluetooth 3 neutral,24-35,Unless you need the Bluetooth 3.,Bluetooth 3 neutral
2482,542,la fuente de alimentación se estropeó después de 2 semanas -,fuente de alimentación negative,3-25,power supply went bad after 2 weeks --,power supply negative
1262,940,"Definitivamente sugiero obtener una garantía extendida, ¡probablemente la necesitará!",garantía extendida positive,36-54,"  I definitely suggest getting an extended warranty, you will probably need it!",extended warranty positive
1334,1531,"Los programas son geniales, como iphoto (me encantan las capacidades de edición), imail (que se puede incorporar con la libreta de direcciones en el ipod y el ipad), imovie, etc.",programas positive <sep> iphoto positive <sep> imail positive <sep> imovie positive,4-13 <sep> 33-39 <sep> 82-87 <sep> 166-172,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs positive <sep> iphoto positive <sep> imail positive <sep> imovie positive
428,1844,"al darles el número de serie, lo primero que me dijeron fue que estaba fuera de garantía y que podía pagar para que lo repararan.",garantía neutral,80-88,"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty neutral
1903,486,"Eso incluía el software adicional Sony Sonic Stage, los parlantes y el subwoofer que obtuve (que valió la pena el dinero), el mouse bluetooth para mi computadora supuestamente habilitada para bluetooth, la batería de duración extendida y el puerto de acoplamiento.",subwoofer positive,71-80,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software neutral <sep> speakers positive <sep> subwoofer positive <sep> extended life battery neutral <sep> Docking port neutral <sep> bluetooth mouse neutral <sep> bluetooth enabled negative
193,2296,No tendrá que gastar montones de dinero en algún programa de virus ineficaz que debe actualizarse cada mes y que agota constantemente su billetera.,programa de virus negative,49-66,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program negative
2320,1744,Software suministrado: el software que viene con esta máquina es muy bienvenido en comparación con lo que viene con Windows.,Software suministrado neutral <sep> software positive,0-21 <sep> 0-8,Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,Supplied software neutral <sep> software positive <sep> Windows negative
2650,701,"La duración de la batería tampoco se mantiene al día con lo que se dice, pero aún así creo que el macbook está muy por delante del resto del paquete.",duración de la batería negative,3-25,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life negative
2094,1775,"La Macbook Pro de 13 ""se ajusta a mi presupuesto y con envío gratuito y sin impuestos a California, este es el mejor precio que podemos obtener por un gran producto.",Envío positive <sep> precio positive <sep> presupuesto positive,55-60 <sep> 117-123 <sep> 37-48,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping positive <sep> price positive <sep> budget positive
1475,1545,"Lo uso para mi negocio de tutoría y, dado que siempre paso de un estudiante a otro, es ideal para la portabilidad y la duración de la batería (sí, ¡obtiene las 8 horas como se anuncia!).",portabilidad positive <sep> duración de la batería positive,101-113 <sep> 119-141,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",portability positive <sep> battery life positive
2186,1819,"No venía con ningún software instalado fuera de los medios de Windows, pero por el precio, estaba muy satisfecho con la condición y el producto en general.",software negative <sep> precio positive,20-28 <sep> 83-89,"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.",software negative <sep> windows media neutral <sep> price positive
2468,1794,Me encanta el marco de aluminio macizo mecanizado y el teclado es el mejor de todos los portátiles que he usado.,teclado positive,55-62,"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",machined aluminum frame positive <sep> keyboard positive
1655,171,La batería se calienta tanto que da miedo.,batería negative,3-10,The battery gets so HOT it is scary.,battery negative
1885,14,"No hay mucho software ""basura"" para eliminar.",software positive,13-21,"Not too much ""junk"" software to remove.",software positive
549,744,El Aspire ni siquiera arranca más allá de la pantalla de Acer con un Droid (he probado tanto Motorola como HTC) conectado al puerto USB.,Pantalla de Acer negative <sep> Puerto USB negative,45-61 <sep> 125-135,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen negative <sep> USB port negative <sep> boot negative
898,1842,La pantalla LCD dejó de funcionar en la mía después de 10 meses.,pantalla LCD negative,3-15,  The lcd screen stopped working on mine after 10 months.,lcd screen negative
508,2669,"A veces, realmente tienes que tocar la almohadilla para que funcione.",almohadilla negative,39-50,Sometimes you really have to tap the pad to get it to worki,pad negative
1213,2637,La entrega también fue anticipada.,Entrega positive,3-10,Delivery was early too.,Delivery positive
52,3073,Lo mejor de esta computadora portátil es el precio junto con algunas de las características más nuevas.,precio positive <sep> características positive,44-50 <sep> 76-91,The best thing about this laptop is the price along with some of the newer features.,price positive <sep> features positive
1344,2709,Las teclas se pegan periódicamente y todavía no he tenido la computadora portátil durante 45 días.,Teclas negative,4-10,Keys stick periodically and I havent had the laptop for 45 days yet.,Keys negative
343,4,Compré un protector para mi teclado y funciona muy bien :),protector neutral <sep> teclado positive,10-19 <sep> 28-35,I bought a protector for my key pad and it works great :),protector neutral <sep> key pad positive
1901,881,"Después de 2 meses de quejas, Asus finalmente envió la fuente de alimentación adecuada a mis técnicos.",fuente de alimentación neutral <sep> técnicos neutral,55-77 <sep> 93-101,"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply neutral <sep> techies neutral
2941,1948,"Ni siquiera puedes conseguir una tarjeta satelital, por eso la compré para empezar.",tarjeta satelital negative,33-50,You can't even get a satellite card which is why I bought to begin with.,satellite card negative
2267,3031,Sé lo que parecen 7 horas de batería.,batería positive,29-36,I know what 7 hrs of battery looks like.,battery positive
378,2138,"Con una Mac, no tiene que preocuparse por el software antivirus o el firewall, es maravilloso.",software antivirus neutral,45-63,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software neutral <sep> firewall neutral
1230,2592,"No era un gran admirador de los netbooks, pero este estaba muy bien diseñado.",diseñado positive,68-76,I wasn't a big fan of the Netbooks but this one was very well designed.,designed positive
1329,2250,iPhoto es un excelente programa para almacenar y organizar fotos.,fotos positive <sep> programa positive,59-64 <sep> 23-31,iPhotos is an excellent program for storing and organizing photos.,iPhotos positive <sep> program positive
1411,219,"Los macbooks son lo suficientemente pequeños como para ser muy portátiles y, sin embargo, contienen toneladas de información y rendimiento.",rendimiento positive,127-138,The macbooks are small enough to be very portable yet hold tons of information and performance.,performance positive
27,2759,¡Esta computadora portátil cumple con todas las expectativas y Windows 7 es excelente!,Windows 7 positive,63-72,This laptop meets every expectation and Windows 7 is great!,Windows 7 positive
2693,2314,"Las aplicaciones se abren en segundos y no hay retrasos, contratiempos o momentos incómodos en los que se pregunta si su computadora está fuera a tomar el té.",Aplicaciones positive,4-16,"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.",Applications positive
2460,1902,La pantalla casi parecía un código de barras cuando se congeló.,pantalla negative,3-11,  The screen almost looked like a barcode when it froze.,screen negative
1142,2448,Las imágenes son lo más claras posible.,imágenes positive,4-12,The pictures are clear as can be.,pictures positive
2852,543,"después de mucho esfuerzo y 10 días, ASUS lo reemplazó El WiFi es muy débil.",Wifi negative,58-62,after much effort and 10 days ASUS replaced itThe WiFi is very weak.,WiFi negative
2798,1392,"a veces, moverá el dedo y el puntero ni siquiera se moverá.",puntero negative,29-36,sometimes you will be moving your finger and the pointer will not even move.,pointer negative
161,1488,"No es necesario comprar protección antivirus para Mac, lo que me ahorra mucho tiempo y dinero.",protección antivirus para Mac positive,24-53,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac positive
2227,2684,Buen precio.,precio positive,5-11,Good price.,price positive
393,1256,Me hizo perder al menos 8 horas de tiempo de instalación.,tiempo de instalación negative,35-56,Wasted me at least 8 hours of installation time.,installation time negative
290,1742,"Tamaño: Sé que 13 es pequeño (especialmente para un reemplazo de escritorio) pero con un monitor externo, a quién le importa.",Tamaño negative <sep> monitor externo neutral,0-6 <sep> 89-104,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size negative <sep> external monitor neutral
2485,44,Lamento haberlo comprado antes de comprender lo horrible que es usarlo.,usar negative,64-68,I regret buying it before understanding how awful it is to use.,use negative
2208,2090,"Gran producto, muy fácil de usar y excelentes gráficos.",gráficos positive <sep> usar positive,46-54 <sep> 28-32,"Great product, very easy to use and great graphics.",graphics positive <sep> use positive
551,1963,La duración de la batería fue más corta de lo esperado.,duración de la batería negative,3-25,The battery life was shorter than expected.,battery life negative
540,1973,Microsoft Word no estaba en él y tuve que comprarlo por separado.,Microsoft Word negative,0-14,Microsoft word was not on it andI had to buy it seperately.,Microsoft word negative
368,505,"Enviaron la caja de inmediato para que la enviara en mi computadora, pagaron los gastos de envío y todo eso, pero cuando recuperé mi computadora todavía no funcionaba bien, ¡y ahora mi unidad de CD no estaba leyendo nada!",unidad de CD negative,185-197,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive negative <sep> running negative
2853,925,Puede llamar a HP y quieren que compre más software para solucionarlo.,software neutral,43-51,You can call HP and they want you to buy more software to fix it.,software neutral
1696,2220,"La computadora se carga aproximadamente en una décima parte del tiempo que lo hizo mi PC, y tengo todos los programas que estaban en mi PC.",programas positive,108-117,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",programs positive <sep> loads positive
1245,2490,"La segunda mejor computadora del mundo, la única forma en que esta computadora podría convertirse en la mejor es que necesita actualizar parches para que las personas no puedan acceder a ellos con mayor facilidad.",parches negative,137-144,2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches negative
391,2811,"Ventiladores laterales, por lo que no se necesita una almohadilla de enfriamiento, ¡excelente característica!",característica positive,94-108,"Fan vents to the side, so no cooling pad needed, great feature!",Fan positive <sep> cooling pad neutral <sep> feature positive
918,2871,Siempre he usado una PC de torre para el hogar y me he pasado a la computadora portátil y he estado muy satisfecho con su rendimiento.,rendimiento positive,122-133,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance positive
396,1424,Mi sistema inalámbrico no reconocía Windows 7 y no podía conectarme para averiguar por qué.,sistema inalámbrico negative <sep> Windows 7 neutral,3-22 <sep> 36-45,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system negative <sep> Windows 7 neutral
2041,831,Lo único que puedo imaginar es que Sony aprovechó las especificaciones iniciales para los requisitos de Vista de Microsoft y lo diseñó para esos requisitos inadecuados.,Vista negative,104-109,  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.,Vista negative
1922,3046,"Entonces, lo llevé de regreso a la tienda de Apple y el personal del bar genio narcisista lo arreglaron reiniciando el ventilador al arrancar.",arrancar neutral,133-141,"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",genius bar staff) negative <sep> fan neutral <sep> boot up neutral
2560,503,"Nunca me ha gustado mucho descargar nada, así que no me preocupaba demasiado contraer un virus, y además pensaba que Norton me protegía.",Norton negative,117-123,"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.",Norton negative
2607,1480,"Mi amigo informa que el portátil es asombroso en rendimiento, calidad de imagen y facilidad de uso.",rendimiento positive <sep> calidad de imagen positive,49-60 <sep> 62-79,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance positive <sep> picture quality positive <sep> use positive
516,2291,No es necesario abrir un programa primero y hacer clic en abrir o importar.,programa positive,25-33,There is no need to open a program first and the cliick open or import.,program positive
2273,1658,"Garageband es más para los músicos, y la computadora portátil está equipada con un micrófono que funciona bien, lo suficientemente bueno para principiantes y músicos de nivel intermedio.",micrófono positive,83-92,"Garageband is more for the musicians, and the laptop is equipped with a good working microphone, good enough for beginners and musicians at the intermediate level.",Garageband neutral <sep> microphone positive
2746,2252,"Además, existe un software de detección de fotos que le permitirá agrupar todas las fotos en función de las personas en la imagen.",software de detección de fotos positive,18-48,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",photo detection software positive
1361,2765,Finalmente me decidí por esta computadora portátil porque tenía el precio adecuado para lo que la necesitaba.,precio positive,67-73,I finally decided on this laptop because it was the right price for what I need it.,price positive
628,2785,"Además, la garantía extendida fue un problema.",garantía extendida negative,11-29,"Also, the extended warranty was a problem.",extended warranty negative
1350,2426,"Personalmente, me gusta el aspecto de los juegos, pero necesitaba una máquina que ofreciera un rendimiento de juego sin dejar de lucir profesional frente a mis clientes.",rendimiento de juego positive,95-115,I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming look positive <sep> gaming performance positive
2865,2223,"El único inconveniente para mí es lo sucia que se pone la pantalla, y con bastante rapidez también.",pantalla negative,58-66,"The only drawback for me is how dirty the screen gets, and rather quickly too.",screen negative
2966,617,"No tuve suerte, aunque esperé durante horas en el MacHouse visitado por teléfono, dijeron que su centro de llamadas no funciona debido a demasiadas llamadas telefónicas (difícil de creer).",centro de llamadas negative,97-115,"No luck, although I waited for hours on the phone-Visited MacHouse, they stated the their call center is down due to too many phonecalls (difficult to believe).",call center negative
2997,908,"Además, mi hermana compró exactamente la misma computadora portátil (ya que eran muy baratas) y después de 8 meses, la pantalla se dividió a la mitad solo por el uso diario.",pantalla negative,119-127,"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",screen negative
1408,237,"Tenía mi IWORKS, Itunes, correo electrónico, MS Office, red e impresoras configuradas y funcionando perfectamente en una hora.",Itunes positive <sep> MS Office positive,17-23 <sep> 45-54,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",IWORKS positive <sep> Itunes positive <sep> MS Office positive
1172,995,"Lo hizo bastante bien, aparte de su bajo rendimiento, sobrecalentamiento y pantalla azul ocasional.",rendimiento negative,41-52,"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance negative
1117,97,"En primer lugar, no tenían constancia de que yo tuviera la garantía de 3 años por la que había pagado casi $ 400, y tuve que llamar, pasar horas en su servicio de chat en línea y enviar por fax varios documentos.",garantía negative,59-67,"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",warranty negative <sep> online chat service negative
999,678,y mucho espacio de almacenamiento con 250 gb (aunque actualizaré esto y el ram ..),almacenamiento positive <sep> RAM neutral,19-33 <sep> 75-78,and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage positive <sep> ram neutral
834,1650,Con el macbook pro viene con software de seguridad gratuito para protegerlo de virus y otras cosas intrusivas de descargas y navegación por Internet o correos electrónicos.,software de seguridad positive,29-50,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware positive
160,1110,Lo voy a poner en servicio hoy.,Servicio neutral,18-26,Going to bring it to service today.,service neutral
2117,2489,"Creo que el manual está en algún lugar del disco duro, pero prefiero tener una copia impresa.",manual neutral <sep> disco duro neutral,12-18 <sep> 43-53,"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",manual neutral <sep> hard drive neutral
2826,952,"La próxima vez que tuviera un problema, mi lightcribe no funcionaría.",lightcribe negative,43-53,The next time I had an issue my lightscribe wouldn't work.,lightscribe negative
2930,1878,1. No puede cambiar el fondo de su escritorio (el iniciador de Windows 7 NO es compatible con esa función).,función negative,98-105,1.You can not change your desktop background (window's 7 starter does NOT support that function).,desktop background negative <sep> window's 7 starter negative <sep> function negative
1537,956,"Lo envié de regreso y descubrí que esta vez la batería estaba defectuosa, así que obtuve una nueva y algunas otras correcciones que encontraron.",batería negative,47-54,"  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.",battery negative
2081,1947,Tenía 3 meses cuando los puertos empezaron a salir.,puertos negative,25-32,I had 3 months when the ports started going out.,ports negative
1716,162,/ impresionante sistema de refrigeración / tarjeta gráfica mucho mejor (ATI 5870) / 8 GB de RAM / pantalla retroiluminada por LED ...,sistema de refrigeración positive <sep> 8 GB de RAM positive,16-40 <sep> 84-95,/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system positive <sep> grafics card positive <sep> LED backlit screen. positive <sep> 8GB RAM positive
1373,1599,"No siento que salga mucho calor, sin embargo, recomiendo encarecidamente comprar un soporte, debido a la naturaleza del diseño del macbook, ya que es un disipador de calor muy grande.",diseño negative <sep> disipador de calor negative,120-126 <sep> 153-171,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",stand neutral <sep> design negative <sep> heat sink negative
2200,1310,"Aun así, es posible que la bisagra esté ligeramente apretada.",bisagra neutral,27-34,"Even doing so, the hinge may just be slightly tightened only.",hinge neutral
1458,101,Recibí garantías de 2 personas diferentes de que los 10 meses restantes de mi garantía se transferirían a la nueva computadora.,garantía positive,7-15,I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty positive
130,404,"Luego, HP me lo devuelve con el hardware estropeado, sin poder conectarse.",hardware negative,32-40,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware negative
1048,2704,Es una buena computadora portátil por su valor.,valor positive,41-46,Its a good laptop for its value.,value positive
1419,1120,"Espero editar esto en las próximas horas, voy a intentar instalar mi propia copia de Windows 7.",Windows 7 neutral,85-94,"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7 neutral
40,1204,"Después de pagar varios cientos de dólares por este servicio, es frustrante que no pueda obtener ayuda fuera del horario de atención.",Servicio negative,52-60,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service negative
2850,2242,Los gráficos son impresionantes.,gráficos positive,4-12,The graphics are stunning.,graphics positive
2083,3017,"Las mejoras al sistema operativo han sido relativamente graduales, pero sustanciales.",O positive,7-8,"The improvements to the OS have been relatively gradual, but substantive.",O positive
2330,1112,Información: Windows no se pudo cargar porque falta el kernal o está dañado.,kernal negative,55-61,"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows negative <sep> kernal negative
2506,2308,"La única objeción que tengo es que después de comprarlo, el sistema Windows 7 es un motor de arranque y cobra por la actualización.",sistema windows 7 negative,60-77,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,windows 7 system negative
144,1057,"Acer me ha configurado con discos de recuperación GRATUITOS, cuando están disponibles desde que lo pedí.",discos de recuperación positive,27-49,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs positive
1155,475,Deben dejar de subcontratar y enviar algunas llamadas de quejas a los agentes de servicio al cliente con sede en EE. UU. Para quienes viven en los Estados Unidos.,agentes de servicio al cliente negative,70-100,They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.,customer service agents negative
904,1398,aunque su vista de Windows en comparación con Windows XP es una mierda.,Windows XP positive,46-56,although its windows vista compared to windows xp sucks.,windows vista negative <sep> windows xp positive
1200,1895,"En general, creo que esta netbook era de mala calidad, tenía un rendimiento deficiente, aunque tenía una gran duración de batería cuando funcionaba.",calidad negative <sep> rendimiento negative,46-53 <sep> 64-75,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality negative <sep> performance negative <sep> battery life positive
1204,2437,Preste atención a las especificaciones si desea estas opciones.,especificaciones neutral,22-38,Pay attention to the specs if you want these options.,specs neutral
1916,1925,"Cuando recuperé mi computadora portátil después de esta primera instancia, funcionó bien por un tiempo, luego comencé a experimentar problemas nuevamente, todo, desde programas y controladores fallando nuevamente, hasta que se apaga sin razón, para bloquear y congelar y todo tipo de ",programas negative,167-176,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs negative <sep> drivers negative
2527,2173,"Con todos los programas que venían con él, como iLife e iWork, estaba configurado desde el principio.",programas neutral <sep> iLife neutral,14-23 <sep> 48-53,"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",programs neutral <sep> iLife neutral <sep> iWork neutral
1502,2807,"el conector para auriculares y micrófono están en frente del panel táctil, lo que hace que sea difícil de usar cuando se usan auriculares / micrófono, sin mencionar que la computadora portátil fue diseñada para personas diestras.",auricular negative <sep> panel táctil neutral <sep> panel táctil negative <sep> auriculares negative <sep> micrófono negative,17-26 <sep> 61-73 <sep> 61-73 <sep> 17-28 <sep> 31-40,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphone negative <sep> mic jack negative <sep> touch-pad neutral <sep> touch-pad negative <sep> headphones negative <sep> mic negative
82,1224,Estaba contento con la compra de una computadora portátil Toshiba Satellite L305D-S5934 hasta que llegó el momento de repararla bajo la garantía de Toshiba.,Garantía de Toshiba negative,136-155,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty negative
2521,2809,"Me encanta Windows 7, pero no puedo darle crédito a Toshiba por eso, a menos que se tomen en serio la ergonomía y hagan que las conexiones requeridas sean menos molestas, la próxima vez buscaré un fabricante diferente.",ergonomía negative <sep> conexiones negative,102-111 <sep> 128-138,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",windows 7 positive <sep> ergonomics negative <sep> connections negative
49,1574,Me encanta el sistema operativo y el software precargado.,sistema operativo positive <sep> software precargado positive,14-31 <sep> 37-56,I love the operating system and the preloaded software.,operating system positive <sep> preloaded software positive
749,2710,"Llegó completamente cargado, bien.",cargado positive,20-27,Came fully loaded - good.,loaded positive
1581,1639,El software es asombroso.,software positive,3-11,The software is amazing.,software positive
2133,2247,iLife es fácilmente compatible con Microsoft Office para que pueda enviar y recibir archivos desde una PC.,iLife positive <sep> Microsoft Office neutral,0-5 <sep> 35-51,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,iLife positive <sep> Microsoft Office neutral
409,1089,"Bueno, derramé algo sobre él y lo reemplazaron con este modelo, que se calienta y la batería no pasa por 1 DVD.",batería negative,85-92,"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery negative
803,1414,Los gráficos eran horribles y la garantía ni siquiera vale el pago barato en la computadora.,gráficos negative <sep> garantía negative,4-12 <sep> 33-41,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics negative <sep> warranty negative
2989,1582,"Pantalla nítida, gran duración de la batería y mucho espacio de almacenamiento.",pantalla positive <sep> duración de la batería positive <sep> almacenamiento positive,0-8 <sep> 22-44 <sep> 64-78,"Crisp screen, great battery life, and plenty of storage.",screen positive <sep> battery life positive <sep> storage positive
320,1551,Es fácil de usar y ligero.,usar positive,12-16,It is easy to use and lightweight.,use positive
2212,454,La cámara web incorporada es ideal para Skype y servicios similares de chat de video.,cámara web incorporada positive,3-25,The built-in webcam is great for Skype and similar video-chat services.,built-in webcam positive
153,654,"Las temperaturas en el exterior estaban bien, pero no realicé un seguimiento de las temperaturas de la Unidad de procesamiento central.",Temperaturas neutral <sep> Temperaturas de la unidad de procesamiento central neutral,4-16 <sep> 84-134,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures neutral <sep> Core Processing Unit temperatures neutral
266,1937,"Lo recuperé y mi cámara web incorporada y mi micrófono incorporado se cortaban cada vez que tocaba la tapa, (tenga en cuenta que este era mi medio de comunicación con mi prometido que estaba desplegado) pero sufrí por eso y constantemente tendría que hacerlo. ",cámara web incorporada negative <sep> micrófono incorporado negative <sep> micrófono negative,17-39 <sep> 45-66 <sep> 45-54,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam negative <sep> built-in mic negative <sep> cam negative <sep> mic negative
1995,1879,2. La tarjeta inalámbrica es de baja calidad.,tarjeta inalámbrica negative,6-25,2.The wireless card is low quality.,wireless card negative
2477,592,"Mi cable de alimentación desarrolló cables expuestos durante el primer año de propiedad, por lo que estaba cubierto por el plan de garantía de Applecare.",Plan de garantía de Applecare positive,123-152,"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.",power supply cord negative <sep> Applecare warranty plan positive
17,337,"Sin embargo, los gestos multitáctiles y el área de seguimiento grande hacen que sea innecesario tener un mouse externo (a menos que esté jugando).",gestos multitáctiles positive <sep> área de seguimiento positive <sep> mouse externo neutral,17-37 <sep> 43-62 <sep> 105-118,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures positive <sep> tracking area positive <sep> external mouse neutral <sep> gaming neutral
2439,32,"Primero, no tiene un botón para abrir la tapa.",tapa neutral,41-45,"First, it does not have a push button to open the lid.",push button negative <sep> lid neutral
3009,349,También me encanta tener el número de calculadora adicional configurado en el teclado que la mayoría de las computadoras portátiles no tienen.,teclado positive,78-85,i also love having the extra calculator number set up on the keyboard which most laptops do not have.,keyboard positive
1753,374,"Me encantan los gráficos, los programas increíbles (incluido Garageband) y el fondo predeterminado realmente genial.",gráficos positive <sep> programas positive <sep> fondo predeterminado positive,16-24 <sep> 30-39 <sep> 78-98,"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics positive <sep> programs positive <sep> Garageband positive <sep> default background positive
2756,2697,También tuve un problema con el panel táctil que hizo que el puntero del mouse saltara por toda la pantalla.,pantalla neutral,99-107,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,touchpad negative <sep> screen neutral <sep> mouse pointer negative
2270,1483,"La computadora portátil es sobresaliente en todos los aspectos, excepto que tiene el iniciador de Windows 7 y no el Windows 7 completo.",Iniciador de Windows 7 negative <sep> Windows 7 positive,85-107 <sep> 98-107,The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7 starter negative <sep> Windows 7 positive
1094,2780,"No hay un teclado numérico a la derecha del teclado, lo cual es un fastidio.",teclado negative,10-17,There is no number pad to the right of the keyboard which is a bummer.,pad negative <sep> keyboard negative
1777,561,esta manzana te lleva a través del inexplorado mundo de Internet.,Internet neutral,56-64,this apple navigates you thru the unexplored world of the internet.,internet neutral
528,761,"Con la empresa actual peleando por la cuota de mercado, es una pena que ASUS pueda salirse con la suya con el personal inepto que contesta el teléfono.",personal negative,110-118,"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",staff negative
2555,326,"Definitivamente lo recomendaría si está buscando una computadora fácil de usar, elegante, divertida e increíble.",usar positive,74-78,"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use positive
2612,963,"Otras TRES semanas después recuperé mi computadora portátil con una nueva alfombrilla, teclas y carcasa.",teclas neutral,87-93,"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",mousepad neutral <sep> keys neutral <sep> casing neutral
1141,2337,"el panel táctil está bien; de nuevo, es un panel táctil real.",panel táctil positive <sep> panel táctil positive,3-15 <sep> 3-15,"the touch pad is fine - again, it's a real touch pad.",touch pad positive <sep> touch pad positive
582,2999,"no estoy usando lan cableada, no estoy seguro de qué se trata.",lan cableada neutral,16-28,not using wired lan not sure what thats about.,wired lan neutral
