,Generated Text,Actual Text,Original Sentence,other
216,negative,negative,get sentiment: The hostess and the waitress were incredibly rude and did everything they could to rush us out. aspect: hostess,
217,negative,negative,get sentiment: The hostess and the waitress were incredibly rude and did everything they could to rush us out. aspect: waitress,
218,neutral,negative,"get sentiment: Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections. aspect: vegetarian dishes",
219,negative,negative,"get sentiment: the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. aspect: soy sauce",
220,negative,negative,"get sentiment: Both times I was extremely dissappointed by the service, which was boarderline rude. aspect: service",
221,negative,negative,"get sentiment: I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was. aspect: eggs benedict",
222,positive,positive,"get sentiment: Try the Pad Thai, it's fabulous and their prices are so cheap! aspect: Pad Thai",
223,negative,negative,get sentiment: It's a rather cramped and busy restaurant and it closes early. aspect: restaurant,
224,positive,negative,get sentiment: The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price. aspect: lobster sandwich,
225,positive,positive,get sentiment: The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price. aspect: lobster sandwich,
226,negative,positive,"get sentiment: When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort. aspect: waiter",
227,positive,positive,get sentiment: I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded. aspect: atmosphere,
228,positive,positive,"get sentiment: The wait staff is very freindly, they make it feel like you're eating in a freindly little european town. aspect: wait staff",
229,positive,positive,"get sentiment: I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!! aspect: Cafe Noir",
230,negative,negative,"get sentiment: I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!! aspect: people",
231,negative,negative,"get sentiment: After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on. aspect: manager",
232,positive,positive,"get sentiment: I also ordered the Change Mojito, which was out of this world. aspect: Change Mojito",
233,positive,neutral,"get sentiment: My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good. aspect: dim sum",
234,neutral,positive,"get sentiment: We ate out in the back patio, which is worth it as it's cool and the music is hear well there. aspect: back patio",
235,positive,neutral,get sentiment: My son and his girlfriend both wanted cheeseburgers and they were huge! aspect: cheeseburgers,
236,positive,positive,"get sentiment: This place is really trendi but they have forgotten about the most important part of a restaurant, the food. aspect: place",
237,positive,positive,get sentiment: We had the lobster sandwich and it was FANTASTIC. aspect: lobster sandwich,
238,positive,positive,get sentiment: We had the scallops as an appetizer and they were delicious and the sauce was wonderful. aspect: scallops,
239,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: assorted sashimi",
240,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: banana tempura",
241,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: ceviche mix (special)",
242,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: crab dumplings",
243,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: rolls",
244,neutral,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: sake",
245,positive,positive,"get sentiment: We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura. aspect: sushi",
246,positive,positive,get sentiment: We were greeted promptly by the waiter who was very nice and cordial. aspect: waiter,
247,positive,positive,get sentiment: The food looked very appetizing and delicious since it came on a variety of fancy plates. aspect: food,
248,positive,positive,get sentiment: I thanked my friend who recommended me this restaurant and will certainly recommend it to others. aspect: restaurant,
249,negative,negative,get sentiment: The food was mediocre at best but it was the horrible service that made me vow never to go back. aspect: service,
250,negative,negative,"get sentiment: This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant. aspect: frontman",
251,positive,positive,get sentiment: The wife had the risotto which was amazing. aspect: risotto,
252,negative,positive,"get sentiment: Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. aspect: waiters",
253,negative,negative,"get sentiment: There's another girl who I can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about. aspect: girl",
254,positive,positive,"get sentiment: Food was amazing - I love Indian food and eat it quite regularly, but I can say this is one of the best I've had. aspect: Food",
255,negative,negative,"get sentiment: I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel. aspect: price",
256,positive,negative,"get sentiment: But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food aspect: place",
257,positive,positive,"get sentiment: The hot dogs are good, yes, but the reason to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy bun. aspect: pork croquette sandwich",
258,positive,neutral,"get sentiment: Though it's been crowded most times I've gone here, Bark always delivers on their food. aspect: Bark",
259,positive,positive,"get sentiment: What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected. aspect: food",
260,negative,negative,get sentiment: We asked for sides which the waiter than admitted that he forgot to put in that part of our order. aspect: waiter,
261,neutral,positive,get sentiment: I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot. aspect: four course prix fix menu,
262,positive,positive,get sentiment: The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing! aspect: waiter,
263,negative,negative,get sentiment: Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients. aspect: restaurant,
264,negative,negative,"get sentiment: My girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that I was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant. aspect: meal",
265,positive,positive,get sentiment: great meal – the fish on the omikase platter was absolutely decadent -- there was none of the stringiness that sometimes accompanies fair sushi -- this fish was perfect!!!! aspect: fish on the omikase platter,
266,positive,positive,get sentiment: Server made several sake suggestions which were very good. aspect: sake,
267,positive,positive,"get sentiment: I was frankly shocked when I read the bad reviews - this place is fantastic; it has not let us down in any way, and we've eaten here more than 10 times. aspect: place",
268,negative,neutral,get sentiment: It's a tiny place so if you get there before 8pm on a weekend (Thurs?Sun) you will find it easier to get a table or a seat at the sushi bar. aspect: place,
269,positive,positive,"get sentiment: The sushi is as fresh as it comes?you'd think ocean was in their backyard, no joke! aspect: sushi",
270,positive,positive,get sentiment: They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific. aspect: fish,
271,positive,positive,"get sentiment: I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good. aspect: Blue Fin Tuna",
272,positive,positive,"get sentiment: I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good. aspect: Horse Mackerel",
273,positive,negative,"get sentiment: As usual the omikase didn't disappoint in freshness, although it scored low on creativity and selection. aspect: omikase",
274,positive,positive,"get sentiment: As usual the omikase didn't disappoint in freshness, although it scored low on creativity and selection. aspect: omikase",
275,negative,positive,get sentiment: It isn't the cheapest sushi but has been worth it every time. aspect: sushi,
276,negative,neutral,get sentiment: It isn't the cheapest sushi but has been worth it every time. aspect: sushi,
277,positive,negative,"get sentiment: the fish was fresh, though it was cut very thin. aspect: fish",
278,positive,positive,"get sentiment: the fish was fresh, though it was cut very thin. aspect: fish",
279,positive,negative,"get sentiment: – The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC). aspect: restaurant",
280,positive,positive,get sentiment: The food was all good but it was way too mild. aspect: food,
281,negative,positive,"get sentiment: Even the chickpeas, which I normally find too dry, were good. aspect: chickpeas",
282,negative,negative,"get sentiment: the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me. aspect: waitress",
283,negative,negative,"get sentiment: Finally, my wife stood face to face in front of one of the staff and she asked, ""Are you waiting for a table?"" aspect: staff",
284,negative,negative,get sentiment: Management should really take notice and train their waitstaff and teach them some proper manners. aspect: waitstaff,
285,neutral,positive,"get sentiment: – This is my ""must bring out of town guests to"" restaurant and they always enjoy and rave about it. aspect: restaurant",
286,positive,positive,"get sentiment: The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured. aspect: staff",
287,neutral,positive,"get sentiment: The presentation of the food was an added bonus, it looked just as great as it tasted! aspect: food",
288,positive,positive,"get sentiment: so about the prawns, they were fresh and had a slight crispiness about the batter... soooo good... the walnuts were cut in smaller pieces and very crunchy and tasty. aspect: prawns",
289,negative,negative,get sentiment: – My first time to dine at this restaurant was with my son and it was absolutely horrible! aspect: restaurant,
290,positive,positive,get sentiment: Sunday afternoons there is a band playing and it is lots of fun. aspect: band,
291,neutral,negative,get sentiment: I went home & looked them up online again where I discovered there is a link for a give away that doesn't work so emailed the restaurant about the non existent service & deceptive link. aspect: restaurant,
292,neutral,neutral,"get sentiment: Food wise, its ok but a bit pricey for what you get considering the restaurant isn't a fancy place. aspect: restaurant",
293,neutral,negative,"get sentiment: Food wise, its ok but a bit pricey for what you get considering the restaurant isn't a fancy place. aspect: restaurant",
294,negative,negative,get sentiment: Everyone that sat in the back outside agreed that it was the worst service we had ever received. aspect: service,
295,negative,negative,"get sentiment: I complained to the manager, but he was not even apologetic. aspect: manager",
296,positive,positive,get sentiment: I love Dungeness crabs and at Ray's you can get them served in about 6 different ways! aspect: Dungeness crabs,
297,positive,positive,get sentiment: The scallops are apparently cooked in a black olive butter which really makes them unique (not to mention tasty). aspect: scallops,
298,positive,positive,get sentiment: Caution - its real food for people who love the best. aspect: food,
299,negative,negative,"get sentiment: The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe). aspect: food",
300,positive,negative,get sentiment: I hope one day Scooner or Later returns to what it once was. aspect: Scooner or Later,
301,negative,negative,"get sentiment: The manager continually interrupted with ""Is there anything else I can do for you?"", a strange comment because she had hardly listened, let alone responded to our expression of disappointment at our experience. aspect: manager",
302,negative,negative,get sentiment: As it turns out the owner was seated right next to us and when he came over to check on our problems was very dismissive and offered a token 20% discount on our bill. aspect: owner,
303,neutral,negative,get sentiment: I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue. aspect: dish,
304,negative,negative,get sentiment: To their credit they removed the dish from the check; but no manager stopped by to ask what the problem was. aspect: manager,
305,positive,negative,get sentiment: The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu. aspect: Snooze,
306,positive,positive,get sentiment: The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu. aspect: Snooze,
307,negative,negative,"get sentiment: They serve it in a tall, skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket. aspect: juice",
308,positive,positive,"get sentiment: The pancakes were certainly inventive but $8.50 for 3 - 6"" pancakes (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well over-priced. aspect: pancakes",
309,positive,negative,"get sentiment: The pancakes were certainly inventive but $8.50 for 3 - 6"" pancakes (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well over-priced. aspect: pancakes",
310,positive,positive,"get sentiment: The 9 oz steak came next and it tasted great, at least initially. aspect: 9 oz steak",
311,negative,negative,"get sentiment: The music playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner. aspect: subwoofer to the sound system",
312,positive,neutral,get sentiment: I got the shellfish and shrimp appetizer and it was alright. aspect: shellfish and shrimp appetizer,
313,positive,positive,"get sentiment: I picked the asparagus, which turned out to be incredible and perfectly prepared. aspect: asparagus",
314,neutral,positive,"get sentiment: We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza! aspect: half/half pizza",
315,negative,negative,"get sentiment: This is where it really really gets bad: the manager said, there is absolutely nothing we can do, it's a matter of taste that she didn't like it, and I cannot comp it. aspect: manager",
316,negative,negative,get sentiment: The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention. aspect: servers,
317,negative,negative,get sentiment: The hostess was rude and I got a distinct feeling that they did not want to serve us. aspect: hostess,
318,positive,positive,"get sentiment: Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner. aspect: server",
319,positive,positive,get sentiment: This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant. aspect: runner,
320,neutral,positive,"get sentiment: For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service. aspect: restaurant",
321,negative,neutral,"get sentiment: The menu looked great, and the waiter was very nice, but when the food came, it was average. aspect: food",
322,positive,positive,"get sentiment: I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for). aspect: manager",
323,positive,negative,"get sentiment: I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for). aspect: manager",
324,negative,negative,"get sentiment: The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession. aspect: manager",
325,positive,positive,get sentiment: I had the Lamb special which was perfect. aspect: Lamb special,
326,positive,positive,"get sentiment: My father had the flank steak which was very good, and my mother had the swordfish. aspect: flank steak",
327,negative,negative,get sentiment: My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor. aspect: quesadilla,
328,positive,positive,"get sentiment: Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night. aspect: atmosphere",
329,positive,positive,get sentiment: The potato balls were not dry at all... in fact it was buttery. aspect: potato balls,
330,negative,positive,"get sentiment: im not necessarily fanatical about this place, but it was a fun time for low pirces. aspect: place",
331,positive,positive,"get sentiment: All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future. aspect: restaurant",
332,negative,negative,"get sentiment: I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it. aspect: restaurant",
333,positive,neutral,"get sentiment: The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"". aspect: The Four Seasons",
334,positive,negative,"get sentiment: The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"". aspect: The Four Seasons",
335,negative,negative,"get sentiment: If you are going for the food, it will not be worth it. aspect: food",
336,positive,negative,"get sentiment: Service was just ok, it is not what you'd expect for $500. aspect: Service",
337,positive,positive,"get sentiment: Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while. aspect: place",
338,positive,positive,"get sentiment: THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC. aspect: waiters",
339,positive,negative,"get sentiment: The space kind of feels like an Alice in Wonderland setting, without it trying to be that. aspect: space",
340,positive,negative,"get sentiment: The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors. aspect: atmosphere",
341,positive,positive,"get sentiment: For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal. aspect: matcha (powdered green tea) and blueberry cheesecake",
342,neutral,positive,"get sentiment: If you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!). aspect: private booths",
343,positive,positive,"get sentiment: My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake! aspect: BBE $29 fixe prix menu",
344,positive,positive,"get sentiment: I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better. aspect: Grilled Black Cod",
345,positive,positive,get sentiment: The boths are not as small as some of the reviews make them out to look they're perfect for 2 people. aspect: boths,
